2025-08-09 20:51:31.970 | INFO     | __main__:<module>:278 - 成功加载配置文件
2025-08-09 20:51:31.970 | INFO     | __main__:evaluate_dify_rag:195 - 开始评估Dify知识库召回和RAG系统的答案...
2025-08-09 20:51:32.157 | INFO     | __main__:evaluate_dify_rag:199 - 加载了 1 条测试数据
2025-08-09 20:51:32.157 | INFO     | __main__:evaluate_dify_rag:208 - 使用自定义LLM进行评估: deepseek-chat
2025-08-09 20:51:32.157 | INFO     | __main__:evaluate_dify_rag:209 - API Base URL: https://api.openai.com
2025-08-09 20:51:34.403 | INFO     | dify_retrieval:__init__:20 - DifyRetrieval初始化成功
2025-08-09 20:51:34.414 | INFO     | __main__:create_evaluation_dataset:124 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-09 20:51:34.414 | INFO     | dify_retrieval:retrieve:66 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-09 20:51:34.414 | ERROR    | __main__:retrieve_with_dify:78 - Dify检索失败: 'DifyRetrieval' object has no attribute 'base_url'
2025-08-09 20:51:44.859 | INFO     | __main__:create_evaluation_dataset:143 - 检索到 0 个上下文片段
2025-08-09 20:51:44.859 | INFO     | __main__:create_evaluation_dataset:144 - RAG系统生成的答案: 二氯二氟甲烷的检出限为 **0.4 µg/kg**。...
2025-08-09 20:51:44.859 | INFO     | __main__:evaluate_dify_rag:250 - 开始执行RAGAS评估,检索策略:hybrid_search...
