2025-08-09 22:25:40.995 | INFO     | __main__:main:269 - 成功加载配置文件
2025-08-09 22:25:40.996 | INFO     | __main__:evaluate_dify_rag:191 - 开始评估Dify知识库召回和RAG系统...
2025-08-09 22:25:41.091 | INFO     | __main__:evaluate_dify_rag:198 - 加载了 1 条测试数据
2025-08-09 22:25:41.091 | INFO     | __main__:evaluate_dify_rag:207 - 使用自定义LLM进行评估: deepseek-chat
2025-08-09 22:25:41.091 | INFO     | __main__:evaluate_dify_rag:208 - API Base URL: https://api.deepseek.com/v1
2025-08-09 22:25:42.639 | INFO     | dify_retrieval:__init__:20 - DifyRetrieval初始化成功
2025-08-09 22:25:42.639 | INFO     | __main__:create_evaluation_dataset:120 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-09 22:25:42.639 | INFO     | dify_retrieval:retrieve:66 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-09 22:25:42.640 | INFO     | dify_retrieval:retrieve:97 - 检索配置 - top_k: 3
2025-08-09 22:25:42.640 | INFO     | dify_retrieval:retrieve:98 - 检索配置 - 分数阈值启用: False
2025-08-09 22:25:53.787 | INFO     | __main__:create_evaluation_dataset:139 - 检索到 2 个上下文片段
2025-08-09 22:25:53.787 | INFO     | __main__:create_evaluation_dataset:140 - RAG系统生成的答案: 二氯二氟甲烷的检出限为 **0.4 µg/kg**。...
2025-08-09 22:25:53.787 | INFO     | __main__:evaluate_dify_rag:249 - 开始执行RAGAS评估,检索策略:hybrid_search1...
2025-08-09 22:26:10.920 | INFO     | __main__:evaluate_dify_rag:257 - 检索策略:hybrid_search1评估完成
2025-08-09 22:26:10.923 | INFO     | dify_retrieval:__init__:20 - DifyRetrieval初始化成功
2025-08-09 22:26:10.923 | INFO     | __main__:create_evaluation_dataset:120 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-09 22:26:10.924 | INFO     | dify_retrieval:retrieve:66 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-09 22:26:10.924 | INFO     | dify_retrieval:retrieve:96 - 检索配置 rebank model : bge-reranker-v2-m3
2025-08-09 22:26:10.924 | INFO     | dify_retrieval:retrieve:97 - 检索配置 - top_k: 3
2025-08-09 22:26:10.924 | INFO     | dify_retrieval:retrieve:98 - 检索配置 - 分数阈值启用: True
2025-08-09 22:26:10.924 | INFO     | dify_retrieval:retrieve:100 - 构建的检索配置 - 分数阈值: 0.9
2025-08-09 22:26:22.496 | INFO     | __main__:create_evaluation_dataset:139 - 检索到 0 个上下文片段
2025-08-09 22:26:22.496 | INFO     | __main__:create_evaluation_dataset:140 - RAG系统生成的答案: 二氯二氟甲烷的检出限为 **0.4 µg/kg**。...
2025-08-09 22:26:22.496 | INFO     | __main__:evaluate_dify_rag:249 - 开始执行RAGAS评估,检索策略:hybrid_search2...
2025-08-09 22:26:39.426 | INFO     | __main__:evaluate_dify_rag:257 - 检索策略:hybrid_search2评估完成
2025-08-09 22:26:39.435 | INFO     | __main__:evaluate_dify_rag:262 - 评估结果已保存到evaluation_results.xlsx
2025-08-09 22:26:39.436 | INFO     | __main__:main:273 - 评估完成
